site,housing,container,individual,temp,survive
lunch,lunch_1,A,1,1,1
lunch,lunch_1,A,2,1,1
lunch,lunch_1,A,3,1,1
lunch,lunch_1,A,4,1,1
lunch,lunch_1,A,5,1,1
lunch,lunch_1,A,6,1,1
lunch,lunch_1,A,7,1,1
lunch,lunch_1,A,8,1,1
lunch,lunch_1,B,1,4,1
lunch,lunch_1,B,2,4,1
lunch,lunch_1,B,3,4,1
lunch,lunch_1,B,4,4,0
lunch,lunch_1,B,5,4,0
lunch,lunch_1,B,6,4,0
lunch,lunch_1,B,7,4,1
lunch,lunch_1,B,8,4,1
lunch,lunch_1,C,1,7,0
lunch,lunch_1,C,2,7,0
lunch,lunch_1,C,3,7,1
lunch,lunch_1,C,4,7,1
lunch,lunch_1,C,5,7,1
lunch,lunch_1,C,6,7,1
lunch,lunch_1,C,7,7,1
lunch,lunch_1,C,8,7,1
lunch,lunch_1,D,1,10,1
lunch,lunch_1,D,2,10,0
lunch,lunch_1,D,3,10,1
lunch,lunch_1,D,4,10,1
lunch,lunch_1,D,5,10,0
lunch,lunch_1,D,6,10,0
lunch,lunch_1,D,7,10,0
lunch,lunch_1,D,8,10,0
lunch,lunch_1,D,9,10,0
lunch,lunch_1,D,10,10,1
lunch,lunch_1,E,1,13,1
lunch,lunch_1,E,2,13,1
lunch,lunch_1,E,3,13,1
lunch,lunch_1,E,4,13,0
lunch,lunch_1,E,5,13,0
lunch,lunch_1,E,6,13,0
lunch,lunch_1,E,7,13,0
lunch,lunch_1,E,8,13,0
lunch,lunch_1,F,1,21,1
lunch,lunch_1,F,2,21,1
lunch,lunch_1,F,3,21,0
lunch,lunch_1,F,4,21,0
lunch,lunch_1,F,5,21,0
lunch,lunch_1,F,6,21,0
lunch,lunch_1,F,7,21,0
lunch,lunch_1,F,8,21,0
lunch,lunch_2,G,1,1,1
lunch,lunch_2,G,2,1,1
lunch,lunch_2,G,3,1,1
lunch,lunch_2,G,4,1,1
lunch,lunch_2,G,5,1,0
lunch,lunch_2,G,6,1,0
lunch,lunch_2,G,7,1,1
lunch,lunch_2,G,8,1,1
lunch,lunch_2,H,1,4,1
lunch,lunch_2,H,2,4,1
lunch,lunch_2,H,3,4,1
lunch,lunch_2,H,4,4,1
lunch,lunch_2,H,5,4,0
lunch,lunch_2,H,6,4,0
lunch,lunch_2,H,7,4,0
lunch,lunch_2,H,8,4,0
lunch,lunch_2,I,1,7,1
lunch,lunch_2,I,2,7,1
lunch,lunch_2,I,3,7,1
lunch,lunch_2,I,4,7,1
lunch,lunch_2,I,5,7,0
lunch,lunch_2,I,6,7,0
lunch,lunch_2,I,7,7,0
lunch,lunch_2,I,8,7,0
lunch,lunch_2,J,1,10,1
lunch,lunch_2,J,2,10,0
lunch,lunch_2,J,3,10,0
lunch,lunch_2,J,4,10,0
lunch,lunch_2,J,5,10,0
lunch,lunch_2,J,6,10,1
lunch,lunch_2,J,7,10,1
lunch,lunch_2,J,8,10,1
lunch,lunch_2,J,9,10,1
lunch,lunch_2,J,10,10,1
lunch,lunch_2,K,1,13,0
lunch,lunch_2,K,2,13,0
lunch,lunch_2,K,3,13,0
lunch,lunch_2,K,4,13,0
lunch,lunch_2,K,5,13,0
lunch,lunch_2,K,6,13,0
lunch,lunch_2,K,7,13,0
lunch,lunch_2,K,8,13,0
lunch,lunch_2,L,1,21,0
lunch,lunch_2,L,2,21,0
lunch,lunch_2,L,3,21,0
lunch,lunch_2,L,4,21,0
lunch,lunch_2,L,5,21,0
lunch,lunch_2,L,6,21,0
lunch,lunch_2,L,7,21,0
lunch,lunch_2,L,8,21,0
lunch,lunch_3,M,1,21,0
lunch,lunch_3,M,2,21,0
lunch,lunch_3,M,3,21,0
lunch,lunch_3,M,4,21,0
lunch,lunch_3,M,5,21,0
reynolds,reynolds_1,N,1,1,1
reynolds,reynolds_1,N,2,1,1
reynolds,reynolds_1,N,3,1,1
reynolds,reynolds_1,N,4,1,0
reynolds,reynolds_1,N,5,1,0
reynolds,reynolds_1,O,1,4,1
reynolds,reynolds_1,O,2,4,1
reynolds,reynolds_1,O,3,4,1
reynolds,reynolds_1,O,4,4,0
reynolds,reynolds_1,O,5,4,0
reynolds,reynolds_1,P,1,7,0
reynolds,reynolds_1,P,2,7,0
reynolds,reynolds_1,P,3,7,0
reynolds,reynolds_1,P,4,7,0
reynolds,reynolds_1,P,5,7,0
reynolds,reynolds_1,Q,1,10,0
reynolds,reynolds_1,Q,2,10,0
reynolds,reynolds_1,Q,3,10,0
reynolds,reynolds_1,R,1,13,0
reynolds,reynolds_1,R,2,13,0
reynolds,reynolds_1,R,3,13,0
reynolds,reynolds_1,R,4,13,0
reynolds,reynolds_1,R,5,13,0
reynolds,reynolds_1,S,1,21,0
reynolds,reynolds_1,S,2,21,0
reynolds,reynolds_1,S,3,21,0
reynolds,reynolds_1,S,4,21,0
reynolds,reynolds_1,S,5,21,0
reynolds,reynolds_2,T,1,1,1
reynolds,reynolds_2,T,2,1,1
reynolds,reynolds_2,T,3,1,0
reynolds,reynolds_2,T,4,1,0
reynolds,reynolds_2,T,5,1,0
reynolds,reynolds_2,U,1,4,0
reynolds,reynolds_2,U,2,4,1
reynolds,reynolds_2,U,3,4,1
reynolds,reynolds_2,U,4,4,1
reynolds,reynolds_2,U,5,4,1
reynolds,reynolds_2,V,1,7,0
reynolds,reynolds_2,V,2,7,0
reynolds,reynolds_2,V,3,7,1
reynolds,reynolds_2,V,4,7,1
reynolds,reynolds_2,V,5,7,1
reynolds,reynolds_2,W,1,13,0
reynolds,reynolds_2,W,2,13,0
reynolds,reynolds_2,W,3,13,0
reynolds,reynolds_2,W,4,13,0
reynolds,reynolds_2,W,5,13,0
reynolds,reynolds_2,X,1,21,0
reynolds,reynolds_2,X,2,21,0
reynolds,reynolds_2,X,3,21,0
reynolds,reynolds_2,X,4,21,0
reynolds,reynolds_2,X,5,21,0
sexton,sexton_1,Y,1,1,0
sexton,sexton_1,Y,2,1,0
sexton,sexton_1,Y,3,1,0
sexton,sexton_1,Y,4,1,0
sexton,sexton_1,Y,5,1,0
sexton,sexton_1,Y,6,1,0
sexton,sexton_1,Y,7,1,0
sexton,sexton_1,Y,8,1,1
sexton,sexton_1,Y,9,1,1
sexton,sexton_1,Y,10,1,1
sexton,sexton_1,Z,1,4,0
sexton,sexton_1,Z,2,4,0
sexton,sexton_1,Z,3,4,0
sexton,sexton_1,Z,4,4,0
sexton,sexton_1,Z,5,4,0
sexton,sexton_1,Z,6,4,0
sexton,sexton_1,Z,7,4,1
sexton,sexton_1,Z,8,4,1
sexton,sexton_1,Z,9,4,1
sexton,sexton_1,Z,10,4,1
sexton,sexton_1,AA,1,7,0
sexton,sexton_1,AA,2,7,0
sexton,sexton_1,AA,3,7,0
sexton,sexton_1,AA,4,7,0
sexton,sexton_1,AA,5,7,0
sexton,sexton_1,AA,6,7,0
sexton,sexton_1,AA,7,7,0
sexton,sexton_1,AA,8,7,0
sexton,sexton_1,AA,9,7,0
sexton,sexton_1,AA,10,7,0
sexton,sexton_1,AB,1,10,0
sexton,sexton_1,AB,2,10,0
sexton,sexton_1,AB,3,10,0
sexton,sexton_1,AB,4,10,0
sexton,sexton_1,AB,5,10,0
sexton,sexton_1,AB,6,10,1
sexton,sexton_1,AB,7,10,1
sexton,sexton_1,AB,8,10,1
sexton,sexton_1,AB,9,10,1
sexton,sexton_1,AB,10,10,1
sexton,sexton_1,AC,1,13,0
sexton,sexton_1,AC,2,13,0
sexton,sexton_1,AC,3,13,0
sexton,sexton_1,AC,4,13,0
sexton,sexton_1,AC,5,13,0
sexton,sexton_1,AC,6,13,0
sexton,sexton_1,AC,7,13,0
sexton,sexton_1,AC,8,13,0
sexton,sexton_1,AC,9,13,0
sexton,sexton_1,AD,1,21,0
sexton,sexton_1,AD,2,21,0
sexton,sexton_1,AD,3,21,0
sexton,sexton_1,AD,4,21,0
sexton,sexton_1,AD,5,21,0
sexton,sexton_1,AD,6,21,0
sexton,sexton_1,AD,7,21,0
sexton,sexton_1,AD,8,21,0
sexton,sexton_1,AD,9,21,0
sexton,sexton_1,AD,10,21,0
sexton,sexton_2,AE,1,1,0
sexton,sexton_2,AE,2,1,0
sexton,sexton_2,AE,3,1,0
sexton,sexton_2,AE,4,1,0
sexton,sexton_2,AE,5,1,0
sexton,sexton_2,AE,6,1,0
sexton,sexton_2,AE,7,1,0
sexton,sexton_2,AE,8,1,0
sexton,sexton_2,AF,1,4,0
sexton,sexton_2,AF,2,4,0
sexton,sexton_2,AF,3,4,0
sexton,sexton_2,AF,4,4,0
sexton,sexton_2,AF,5,4,0
sexton,sexton_2,AF,6,4,0
sexton,sexton_2,AF,7,4,0
sexton,sexton_2,AF,8,4,0
sexton,sexton_2,AG,1,7,0
sexton,sexton_2,AG,2,7,0
sexton,sexton_2,AG,3,7,0
sexton,sexton_2,AG,4,7,0
sexton,sexton_2,AG,5,7,0
sexton,sexton_2,AG,6,7,0
sexton,sexton_2,AG,7,7,0
sexton,sexton_2,AG,8,7,0
sexton,sexton_2,AG,9,7,0
sexton,sexton_2,AG,10,7,0
sexton,sexton_2,AH,1,13,0
sexton,sexton_2,AH,2,13,0
sexton,sexton_2,AH,3,13,0
sexton,sexton_2,AH,4,13,0
sexton,sexton_2,AH,5,13,0
sexton,sexton_2,AH,6,13,0
sexton,sexton_2,AH,7,13,0
sexton,sexton_2,AH,8,13,0
sexton,sexton_2,AH,9,13,0
sexton,sexton_2,AH,10,13,0
sexton,sexton_2,AI,1,21,0
sexton,sexton_2,AI,2,21,0
sexton,sexton_2,AI,3,21,0
sexton,sexton_2,AI,4,21,0
sexton,sexton_2,AI,5,21,0
sexton,sexton_2,AI,6,21,0
sexton,sexton_2,AI,7,21,0
sexton,sexton_2,AI,8,21,0
sexton,sexton_2,AI,9,21,0
siyeh,siyeh_1,AJ,1,1,1
siyeh,siyeh_1,AJ,2,1,1
siyeh,siyeh_1,AJ,3,1,1
siyeh,siyeh_1,AJ,4,1,1
siyeh,siyeh_1,AJ,5,1,0
siyeh,siyeh_1,AJ,6,1,0
siyeh,siyeh_1,AJ,7,1,0
siyeh,siyeh_1,AJ,8,1,0
siyeh,siyeh_1,AK,1,4,1
siyeh,siyeh_1,AK,2,4,1
siyeh,siyeh_1,AK,3,4,0
siyeh,siyeh_1,AK,4,4,0
siyeh,siyeh_1,AK,5,4,0
siyeh,siyeh_1,AK,6,4,0
siyeh,siyeh_1,AK,7,4,0
siyeh,siyeh_1,AK,8,4,0
siyeh,siyeh_1,AK,1,7,1
siyeh,siyeh_1,AK,2,7,0
siyeh,siyeh_1,AK,3,7,0
siyeh,siyeh_1,AK,4,7,0
siyeh,siyeh_1,AK,5,7,0
siyeh,siyeh_1,AK,6,7,0
siyeh,siyeh_1,AK,7,7,0
siyeh,siyeh_1,AK,8,7,0
siyeh,siyeh_1,AL,1,10,0
siyeh,siyeh_1,AL,2,10,0
siyeh,siyeh_1,AL,3,10,0
siyeh,siyeh_1,AL,4,10,0
siyeh,siyeh_1,AL,5,10,0
siyeh,siyeh_1,AL,6,10,0
siyeh,siyeh_1,AL,7,10,0
siyeh,siyeh_1,AL,8,10,0
siyeh,siyeh_1,AM,1,13,0
siyeh,siyeh_1,AM,2,13,0
siyeh,siyeh_1,AM,3,13,0
siyeh,siyeh_1,AM,4,13,0
siyeh,siyeh_1,AM,5,13,0
siyeh,siyeh_1,AM,6,13,0
siyeh,siyeh_1,AM,7,13,0
siyeh,siyeh_1,AM,8,13,0
siyeh,siyeh_1,AN,1,21,0
siyeh,siyeh_1,AN,2,21,0
siyeh,siyeh_1,AN,3,21,0
siyeh,siyeh_1,AN,4,21,0
siyeh,siyeh_1,AN,5,21,0
siyeh,siyeh_1,AN,6,21,0
siyeh,siyeh_1,AN,7,21,0
siyeh,siyeh_1,AN,8,21,0
siyeh,siyeh_2,AO,1,1,1
siyeh,siyeh_2,AO,2,1,1
siyeh,siyeh_2,AO,3,1,0
siyeh,siyeh_2,AO,4,1,0
siyeh,siyeh_2,AO,5,1,0
siyeh,siyeh_2,AO,6,1,0
siyeh,siyeh_2,AO,7,1,0
siyeh,siyeh_2,AO,8,1,0
siyeh,siyeh_2,AP,1,4,0
siyeh,siyeh_2,AP,2,4,0
siyeh,siyeh_2,AP,3,4,0
siyeh,siyeh_2,AP,4,4,0
siyeh,siyeh_2,AP,5,4,0
siyeh,siyeh_2,AP,6,4,0
siyeh,siyeh_2,AP,7,4,0
siyeh,siyeh_2,AP,8,4,0
siyeh,siyeh_2,AQ,1,7,1
siyeh,siyeh_2,AQ,2,7,0
siyeh,siyeh_2,AQ,3,7,0
siyeh,siyeh_2,AQ,4,7,0
siyeh,siyeh_2,AQ,5,7,0
siyeh,siyeh_2,AQ,6,7,0
siyeh,siyeh_2,AQ,7,7,0
siyeh,siyeh_2,AQ,8,7,0
siyeh,siyeh_2,AU,1,10,0
siyeh,siyeh_2,AU,2,10,0
siyeh,siyeh_2,AU,3,10,0
siyeh,siyeh_2,AU,4,10,0
siyeh,siyeh_2,AU,5,10,0
siyeh,siyeh_2,AU,6,10,0
siyeh,siyeh_2,AU,7,10,0
siyeh,siyeh_2,AU,8,10,0
siyeh,siyeh_2,AU,9,10,0
siyeh,siyeh_2,AV,1,13,0
siyeh,siyeh_2,AV,2,13,0
siyeh,siyeh_2,AV,3,13,0
siyeh,siyeh_2,AV,4,13,0
siyeh,siyeh_2,AV,5,13,0
siyeh,siyeh_2,AV,6,13,0
siyeh,siyeh_2,AV,7,13,0
siyeh,siyeh_2,AV,8,13,0
siyeh,siyeh_2,AW,1,21,0
siyeh,siyeh_2,AW,2,21,0
siyeh,siyeh_2,AW,3,21,0
siyeh,siyeh_2,AW,4,21,0
siyeh,siyeh_2,AW,5,21,0
siyeh,siyeh_2,AW,6,21,0
siyeh,siyeh_2,AW,7,21,0
siyeh,siyeh_2,AW,8,21,0
unmarked,unmarked_4,YYYY,1,1,1
unmarked,unmarked_3,YYYY,2,1,1
unmarked,unmarked_2,YYYY,3,1,1
unmarked,unmarked_1,YYYY,4,1,0
unmarked,unmarked_0,AX,1,4,0
unmarked,unmarked_1,AX,2,4,0
unmarked,unmarked_1,AX,3,4,1
unmarked,unmarked_1,AX,4,4,1
unmarked,unmarked_1,AY,1,7,0
unmarked,unmarked_1,AY,2,7,0
unmarked,unmarked_1,AY,3,7,0
unmarked,unmarked_1,AY,4,7,1
unmarked,unmarked_1,AZ,1,10,1
unmarked,unmarked_1,AZ,2,10,0
unmarked,unmarked_1,AZ,3,10,0
unmarked,unmarked_1,AZ,4,10,0
unmarked,unmarked_1,AZ,5,10,0
unmarked,unmarked_1,AZ,6,10,0
unmarked,unmarked_1,AZ,7,10,0
unmarked,unmarked_1,BA,1,13,0
unmarked,unmarked_1,BA,2,13,0
unmarked,unmarked_1,BA,3,13,0
unmarked,unmarked_1,BA,4,13,1
unmarked,unmarked_1,BB,1,21,0
unmarked,unmarked_1,BB,2,21,0
unmarked,unmarked_1,BB,3,21,0
unmarked,unmarked_1,BB,4,21,0
unmarked,unmarked_2,BC,1,1,1
unmarked,unmarked_2,BC,2,1,0
unmarked,unmarked_2,BC,3,1,1
unmarked,unmarked_2,BC,4,1,1
unmarked,unmarked_2,BD,1,4,0
unmarked,unmarked_2,BD,2,4,0
unmarked,unmarked_2,BD,3,4,0
unmarked,unmarked_2,BD,4,4,1
unmarked,unmarked_2,BE,1,7,1
unmarked,unmarked_2,BE,2,7,1
unmarked,unmarked_2,BE,3,7,1
unmarked,unmarked_2,BE,4,7,1
unmarked,unmarked_2,BF,1,10,0
unmarked,unmarked_2,BF,2,10,0
unmarked,unmarked_2,BF,3,10,0
unmarked,unmarked_2,BF,4,10,0
unmarked,unmarked_2,BF,5,10,0
unmarked,unmarked_2,BF,6,10,1
unmarked,unmarked_2,BF,7,10,1
unmarked,unmarked_2,BG,1,13,0
unmarked,unmarked_2,BG,2,13,0
unmarked,unmarked_2,BG,3,13,0
unmarked,unmarked_2,BG,4,13,1
unmarked,unmarked_2,BH,1,21,0
unmarked,unmarked_2,BH,2,21,0
unmarked,unmarked_2,BH,3,21,0
unmarked,unmarked_2,BH,4,21,0